度数163  insert:23.388  delete:0.063052
度数164  insert:23.6149  delete:0.058978
度数165  insert:23.6398  delete:0.059289
度数166  insert:23.814  delete:0.058598
度数167  insert:23.8592  delete:0.057698
度数168  insert:23.9283  delete:0.05783
度数169  insert:24.0413  delete:0.048044
度数170  insert:24.2103  delete:0.059605
度数171  insert:24.2619  delete:0.049718
度数172  insert:24.4896  delete:0.058131
度数173  insert:24.3896  delete:0.057842
度数174  insert:24.6197  delete:0.05709
度数175  insert:24.6422  delete:0.055771
度数176  insert:24.7952  delete:0.051676
度数177  insert:25.0951  delete:0.062635
度数178  insert:25.1125  delete:0.055319
度数179  insert:24.9694  delete:0.055469
度数180  insert:25.17  delete:0.055204
度数181  insert:25.2817  delete:0.059527
度数182  insert:25.1913  delete:0.054875
度数183  insert:25.4456  delete:0.055893
度数184  insert:25.4038  delete:0.055583
度数185  insert:25.4477  delete:0.045117
度数186  insert:25.7563  delete:0.046993
度数187  insert:27.0838  delete:0.044283
度数188  insert:26.0112  delete:0.05191
度数189  insert:26.0468  delete:0.053063
度数190  insert:26.0693  delete:0.049753
度数191  insert:26.2443  delete:0.053392
度数192  insert:26.4502  delete:0.053427
度数193  insert:27.0521  delete:0.05188
度数194  insert:26.2735  delete:0.053133
度数195  insert:26.4341  delete:0.043758
度数196  insert:26.5181  delete:0.050281
度数197  insert:26.8901  delete:0.050862
度数198  insert:26.6614  delete:0.050808
度数199  insert:26.9338  delete:0.050011
度数200  insert:27.0039  delete:0.044576
度数201  insert:26.9238  delete:0.048986
度数202  insert:27.0178  delete:0.052429
度数203  insert:27.1508  delete:0.048034
度数204  insert:27.155  delete:0.048481
度数205  insert:27.237  delete:0.039686
度数206  insert:27.3951  delete:0.047817
度数207  insert:27.7232  delete:0.049798
度数208  insert:27.9128  delete:0.052049
度数209  insert:27.8738  delete:0.047645
度数210  insert:28.6964  delete:0.0477
度数211  insert:28.2614  delete:0.050322
度数212  insert:28.1135  delete:0.04154
度数213  insert:27.9342  delete:0.041711
度数214  insert:28.05  delete:0.040558
度数215  insert:28.1345  delete:0.046208
度数216  insert:28.4061  delete:0.046521
度数217  insert:28.3874  delete:0.037516
度数218  insert:28.349  delete:0.037461
度数219  insert:28.3828  delete:0.045389
度数220  insert:28.4957  delete:0.045814
度数221  insert:29.3309  delete:0.043181
度数222  insert:29.6382  delete:0.040019
度数223  insert:29.2052  delete:0.045265
度数224  insert:29.4521  delete:0.045156
度数225  insert:29.2183  delete:0.038899
度数226  insert:29.3769  delete:0.046551
度数227  insert:29.3139  delete:0.042956
度数228  insert:29.4214  delete:0.043613
度数229  insert:29.3621  delete:0.044028
度数230  insert:30.2908  delete:0.046003
度数231  insert:30.9657  delete:0.044343
度数232  insert:30.323  delete:0.04041
度数233  insert:29.964  delete:0.044522
度数234  insert:30.0548  delete:0.042698
度数235  insert:30.306  delete:0.04417
度数236  insert:30.1778  delete:0.041431
度数237  insert:30.3323  delete:0.037035
度数238  insert:30.3285  delete:0.043248
度数239  insert:30.395  delete:0.042409
度数240  insert:30.3059  delete:0.042901
度数241  insert:30.4813  delete:0.043926
度数242  insert:30.4424  delete:0.045371
度数243  insert:30.4512  delete:0.043532
度数244  insert:30.4643  delete:0.0439
度数245  insert:30.765  delete:0.041586
度数246  insert:30.7433  delete:0.043118
度数247  insert:30.8683  delete:0.04086
度数248  insert:30.9821  delete:0.040324
度数249  insert:31.0753  delete:0.040687
度数250  insert:31.183  delete:0.040626
度数251  insert:31.4974  delete:0.039662
度数252  insert:31.5766  delete:0.042957
度数253  insert:31.5222  delete:0.032566
度数254  insert:31.6714  delete:0.038583
度数255  insert:31.6402  delete:0.039142
度数256  insert:31.6772  delete:0.031269
度数257  insert:31.9889  delete:0.035289
度数258  insert:32.0414  delete:0.034144
度数259  insert:32.0471  delete:0.035466
度数260  insert:32.2204  delete:0.037077
度数261  insert:32.3143  delete:0.035067
度数262  insert:32.5689  delete:0.033411
度数263  insert:32.4519  delete:0.036544
度数264  insert:32.7599  delete:0.033634
度数265  insert:32.7754  delete:0.036575
度数266  insert:32.8234  delete:0.033871
度数267  insert:32.7607  delete:0.034878
度数268  insert:32.9521  delete:0.032759
度数269  insert:32.994  delete:0.032496
度数270  insert:33.0353  delete:0.033986
度数271  insert:33.0185  delete:0.032574
度数272  insert:33.0434  delete:0.03224
度数273  insert:33.1  delete:0.033878
度数274  insert:33.0938  delete:0.032187
度数275  insert:33.1644  delete:0.032938
度数276  insert:33.2741  delete:0.034535
度数277  insert:33.2527  delete:0.035019
度数278  insert:33.3423  delete:0.034002
度数279  insert:33.3554  delete:0.032015
度数280  insert:33.5318  delete:0.032572
度数281  insert:33.5445  delete:0.031718
度数282  insert:34.158  delete:0.029997
度数283  insert:35.122  delete:0.032855
度数284  insert:35.3144  delete:0.030832
度数285  insert:34.2972  delete:0.032596
度数286  insert:34.3084  delete:0.030685
度数287  insert:34.3117  delete:0.034426
度数288  insert:34.2692  delete:0.033455
度数289  insert:35.6434  delete:0.031206
度数290  insert:35.4991  delete:0.032172
度数291  insert:35.0557  delete:0.029098
度数292  insert:35.7573  delete:0.029631
度数293  insert:35.5119  delete:0.028766
度数294  insert:34.7867  delete:0.031737
度数295  insert:34.4425  delete:0.030468
度数296  insert:35.6732  delete:0.03471
度数297  insert:35.057  delete:0.033655
度数298  insert:35.0663  delete:0.0337
度数299  insert:35.8526  delete:0.03024
度数300  insert:35.362  delete:0.034084
度数301  insert:35.071  delete:0.02922
度数302  insert:35.4304  delete:0.030862
度数303  insert:35.4684  delete:0.030334
度数304  insert:35.5012  delete:0.030221
度数305  insert:35.5588  delete:0.031897
度数306  insert:35.4169  delete:0.030212
度数307  insert:35.3636  delete:0.028042
度数308  insert:35.7867  delete:0.030502
度数309  insert:37.6267  delete:0.029772
度数310  insert:36.1717  delete:0.028401
